,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
76,4,677,677,2103.05,2097.9628555308095,-20.348577876762647,-0.002418936529892668,2021-07-14 09:25:00,2021-07-14 09:25:00,0 days 00:00:00
77,-4,679,684,2098.9,2090.332942829872,34.26822868051204,0.004081689060997706,2021-07-14 09:35:00,2021-07-14 10:00:00,0 days 00:25:00
78,-4,685,688,2092.1,2086.054662943761,24.18134822495631,0.002889602340346631,2021-07-14 10:05:00,2021-07-14 10:20:00,0 days 00:15:00
79,-4,689,693,2087.3,2091.0328076703836,-14.931230681533634,-0.0017883426773264155,2021-07-14 10:25:00,2021-07-14 10:45:00,0 days 00:20:00
80,-4,696,707,2088.65,2084.7663032871087,15.534786851565514,0.0018594291589741907,2021-07-14 11:00:00,2021-07-14 11:55:00,0 days 00:55:00
81,-4,712,723,2089.55,2092.2677182008256,-10.870872803301609,-0.0013006236753489997,2021-07-14 12:20:00,2021-07-14 13:15:00,0 days 00:55:00
82,-4,726,733,2090.05,2086.268858172651,15.124567309396298,0.0018091154887917016,2021-07-14 13:30:00,2021-07-14 14:05:00,0 days 00:35:00
83,-4,734,736,2089.1,2084.611971268135,17.95211492745875,0.00214830727675297,2021-07-14 14:10:00,2021-07-14 14:20:00,0 days 00:10:00
84,-4,737,738,2083.45,2086.575469788305,-12.501879153220216,-0.0015001414904629584,2021-07-14 14:25:00,2021-07-14 14:30:00,0 days 00:05:00
85,-4,745,749,2086.9,2082.590788759936,17.23684496025635,0.00206488630986823,2021-07-14 15:05:00,2021-07-14 15:25:00,0 days 00:20:00
86,-4,750,750,2095.0,2095.0,-0.0,-0.0,2021-07-15 09:15:00,2021-07-15 09:15:00,0 days 00:00:00
87,-4,755,762,2089.0,2082.0881082050028,27.647567179988982,0.0033087083748192248,2021-07-15 09:40:00,2021-07-15 10:15:00,0 days 00:35:00
88,-4,763,778,2082.95,2086.439348526705,-13.957394106821084,-0.0016751955287959142,2021-07-15 10:20:00,2021-07-15 11:35:00,0 days 01:15:00
89,4,780,791,2087.85,2084.6914098923467,-12.634360430613015,-0.0015128434071668417,2021-07-15 11:45:00,2021-07-15 12:40:00,0 days 00:55:00
90,-4,792,802,2083.5,2085.54374369517,-8.174974780680714,-0.0009809185002016552,2021-07-15 12:45:00,2021-07-15 13:35:00,0 days 00:50:00
91,4,808,814,2090.65,2088.1064484799717,-10.174206080113436,-0.0012166319183164465,2021-07-15 14:05:00,2021-07-15 14:35:00,0 days 00:30:00
92,-4,818,820,2087.15,2083.6062601320064,14.174959471974944,0.0016978846120278002,2021-07-15 14:55:00,2021-07-15 15:05:00,0 days 00:10:00
93,-4,821,823,2084.4,2080.5799772259866,15.280091096054093,0.0018326726031536733,2021-07-15 15:10:00,2021-07-15 15:20:00,0 days 00:10:00
94,-4,824,825,2079.75,2087.75,-32.0,-0.0038466161798293985,2021-07-15 15:25:00,2021-07-16 09:15:00,0 days 17:50:00
95,4,829,838,2097.45,2091.7363281488706,-22.85468740451688,-0.0027241039601083594,2021-07-16 09:35:00,2021-07-16 10:20:00,0 days 00:45:00
96,-4,839,840,2093.45,2097.1644552631465,-14.857821052586587,-0.0017743224166550942,2021-07-16 10:25:00,2021-07-16 10:30:00,0 days 00:05:00
97,4,842,842,2098.55,2103.6590189657713,20.436075863084625,0.0024345471710329747,2021-07-16 10:40:00,2021-07-16 10:40:00,0 days 00:00:00
98,4,843,845,2109.0,2103.853417733845,-20.58632906461935,-0.0024402950527050438,2021-07-16 10:45:00,2021-07-16 10:55:00,0 days 00:10:00
99,4,846,861,2104.85,2100.418449651634,-17.72620139346327,-0.00210539960014533,2021-07-16 11:00:00,2021-07-16 12:15:00,0 days 01:15:00
100,-4,864,865,2099.2,2102.93588080356,-14.943523214240486,-0.0017796688279154704,2021-07-16 12:30:00,2021-07-16 12:35:00,0 days 00:05:00
101,4,867,890,2103.6,2108.8452926540913,20.98117061636549,0.002493483862945123,2021-07-16 12:45:00,2021-07-16 14:40:00,0 days 01:55:00
102,4,891,891,2108.5,2112.5903904542765,16.36156181710612,0.0019399527883692258,2021-07-16 14:45:00,2021-07-16 14:45:00,0 days 00:00:00
103,4,892,893,2112.35,2108.668348311842,-14.726606752632506,-0.0017429174559888683,2021-07-16 14:50:00,2021-07-16 14:55:00,0 days 00:05:00
104,4,895,899,2113.4,2109.5868315899643,-15.252673640143257,-0.0018042814469744206,2021-07-16 15:05:00,2021-07-16 15:25:00,0 days 00:20:00
105,4,902,902,2123.95,2115.788859996343,-32.64456001462713,-0.0038424350872934276,2021-07-19 09:25:00,2021-07-19 09:25:00,0 days 00:00:00
106,4,903,904,2119.75,2110.9404514254365,-35.2381942982538,-0.00415593752780441,2021-07-19 09:30:00,2021-07-19 09:35:00,0 days 00:05:00
107,4,910,915,2117.75,2111.734917242003,-24.060331031987516,-0.0028403176758337034,2021-07-19 10:05:00,2021-07-19 10:30:00,0 days 00:25:00
108,-4,916,917,2111.1,2115.951192795154,-19.40477118061608,-0.0022979455237335245,2021-07-19 10:35:00,2021-07-19 10:40:00,0 days 00:05:00
109,4,918,920,2116.45,2112.2201440688664,-16.91942372453377,-0.0019985617100019004,2021-07-19 10:45:00,2021-07-19 10:55:00,0 days 00:10:00
110,-4,921,923,2108.5,2112.2038451344747,-14.815380537898818,-0.0017566256269740954,2021-07-19 11:00:00,2021-07-19 11:10:00,0 days 00:10:00
111,4,930,939,2117.95,2114.563109289925,-13.547562840300088,-0.0015991362922047614,2021-07-19 11:45:00,2021-07-19 12:30:00,0 days 00:45:00
112,-4,942,945,2110.0,2105.616658187672,17.533367249312505,0.00207741318119814,2021-07-19 12:45:00,2021-07-19 13:00:00,0 days 00:15:00
113,-4,946,948,2104.0,2108.243768149043,-16.97507259617123,-0.0020170000708379376,2021-07-19 13:05:00,2021-07-19 13:15:00,0 days 00:10:00
114,-4,952,960,2106.95,2100.847670357227,24.409318571091717,0.002896285931214715,2021-07-19 13:35:00,2021-07-19 14:15:00,0 days 00:40:00
115,-4,961,962,2099.15,2093.402090323632,22.991638705472724,0.002738208168243439,2021-07-19 14:20:00,2021-07-19 14:25:00,0 days 00:05:00
116,-4,963,973,2096.35,2100.624894535364,-17.099578141456732,-0.002039208402873749,2021-07-19 14:30:00,2021-07-19 15:20:00,0 days 00:50:00
117,-4,975,975,2099.5,2102.0407327725807,-10.162931090322672,-0.0012101608823913423,2021-07-20 09:15:00,2021-07-20 09:15:00,0 days 00:00:00
118,4,977,978,2107.95,2101.5896657181042,-25.4413371275823,-0.0030173079446360607,2021-07-20 09:25:00,2021-07-20 09:30:00,0 days 00:05:00
119,-4,980,985,2097.1,2103.5768868947216,-25.907547578886806,-0.0030884969218070157,2021-07-20 09:40:00,2021-07-20 10:05:00,0 days 00:25:00
120,4,986,990,2103.1,2098.008823747247,-20.36470501101212,-0.002420796088038135,2021-07-20 10:10:00,2021-07-20 10:30:00,0 days 00:20:00
121,-4,991,998,2098.1,2091.795103241976,25.21958703209566,0.003005050644880547,2021-07-20 10:35:00,2021-07-20 11:10:00,0 days 00:35:00
122,-4,999,1014,2089.8,2094.9972122117338,-20.788848846934343,-0.0024869423924460676,2021-07-20 11:15:00,2021-07-20 12:30:00,0 days 01:15:00
123,4,1020,1032,2104.2,2098.933928728317,-21.064285086731616,-0.0025026476911333972,2021-07-20 13:00:00,2021-07-20 14:00:00,0 days 01:00:00
124,-4,1037,1049,2097.0,2090.5734820292046,25.70607188318172,0.0030646246880283723,2021-07-20 14:25:00,2021-07-20 15:25:00,0 days 01:00:00
125,-4,1050,1050,2119.0,2119.0,-0.0,-0.0,2021-07-22 09:15:00,2021-07-22 09:15:00,0 days 00:00:00
126,-4,1055,1109,2104.0,2111.2262719027303,-28.905087610921328,-0.0034345398777235747,2021-07-22 09:40:00,2021-07-22 14:10:00,0 days 04:30:00
127,4,1110,1110,2114.35,2111.503767358539,-11.384930565844115,-0.0013461501839624468,2021-07-22 14:15:00,2021-07-22 14:15:00,0 days 00:00:00
128,4,1111,1119,2110.15,2116.980870539021,27.323482156083628,0.0032371492732843343,2021-07-22 14:20:00,2021-07-22 15:00:00,0 days 00:40:00
129,4,1120,1121,2122.0,2117.5995475397012,-17.601809841195063,-0.0020737287748816557,2021-07-22 15:05:00,2021-07-22 15:10:00,0 days 00:05:00
130,4,1123,1125,2121.35,2134.45,52.399999999999636,0.006175312890376317,2021-07-22 15:20:00,2021-07-23 09:15:00,0 days 17:55:00
131,4,1126,1128,2130.4,2124.2756075275806,-24.497569889677834,-0.0028747617688787974,2021-07-23 09:20:00,2021-07-23 09:30:00,0 days 00:10:00
132,-4,1129,1142,2118.2,2107.889582620805,41.24166951677944,0.004867537238785191,2021-07-23 09:35:00,2021-07-23 10:40:00,0 days 01:05:00
133,-4,1143,1145,2114.0,2119.877362877982,-23.509451511927182,-0.0027802094976261404,2021-07-23 10:45:00,2021-07-23 10:55:00,0 days 00:10:00
134,4,1149,1150,2125.05,2119.0404216573443,-24.038313370623655,-0.002827970326653939,2021-07-23 11:15:00,2021-07-23 11:20:00,0 days 00:05:00
135,-4,1151,1188,2121.1,2112.1535259080933,35.785896367626265,0.004217846443782314,2021-07-23 11:25:00,2021-07-23 14:30:00,0 days 03:05:00
136,-4,1189,1193,2112.0,2105.7325750779937,25.06969968802514,0.0029675307395863326,2021-07-23 14:35:00,2021-07-23 14:55:00,0 days 00:20:00
137,-4,1194,1200,2109.9,2101.6327615759196,33.06895369632184,0.00391830817767691,2021-07-23 15:00:00,2021-07-26 09:15:00,2 days 18:15:00
138,4,1202,1202,2119.7,2109.2355520456067,-41.85779181757243,-0.00493675895381096,2021-07-26 09:25:00,2021-07-26 09:25:00,0 days 00:00:00
139,-4,1204,1271,2097.05,2079.3146900094443,70.94123996222334,0.008457266155101562,2021-07-26 09:35:00,2021-07-26 15:10:00,0 days 05:35:00
140,-4,1272,1274,2077.0,2071.819290650045,20.72283739982049,0.0024943232305995044,2021-07-26 15:15:00,2021-07-26 15:25:00,0 days 00:10:00
141,-4,1275,1275,2076.8,2078.015924625054,-4.863698500215833,-0.0005854798849451726,2021-07-27 09:15:00,2021-07-27 09:15:00,0 days 00:00:00
142,-4,1280,1300,2075.7,2068.0074085305746,30.770365877700897,0.003706022772763551,2021-07-27 09:40:00,2021-07-27 11:20:00,0 days 01:40:00
143,-4,1301,1303,2068.2,2063.853603193599,17.38558722560265,0.0021015360247561565,2021-07-27 11:25:00,2021-07-27 11:35:00,0 days 00:10:00
144,-4,1304,1306,2065.45,2068.3908488050197,-11.763395220079474,-0.0014238295795201417,2021-07-27 11:40:00,2021-07-27 11:50:00,0 days 00:10:00
145,-4,1309,1314,2065.5,2060.8219705800116,18.712117679953735,0.0022648411619407005,2021-07-27 12:05:00,2021-07-27 12:30:00,0 days 00:25:00
146,-4,1315,1316,2058.9,2052.8896333957878,24.04146641684929,0.0029192124941533892,2021-07-27 12:35:00,2021-07-27 12:40:00,0 days 00:05:00
147,-4,1317,1321,2053.1,2046.872383719354,24.910465122583446,0.003033274697114563,2021-07-27 12:45:00,2021-07-27 13:05:00,0 days 00:20:00
148,-4,1322,1323,2042.55,2047.3906653655542,-19.362661462217147,-0.002369912788207973,2021-07-27 13:10:00,2021-07-27 13:15:00,0 days 00:05:00
149,-4,1331,1335,2051.4,2045.217515965607,24.729936137572622,0.003013787673975421,2021-07-27 13:55:00,2021-07-27 14:15:00,0 days 00:20:00
