date,Open,High,Low,Close,Volume
25/09/20 22:00,10745.87,10750.01,10662.84,10685.94,15005567.33
25/09/20 21:00,10707.81,10746.8,10700.87,10745.86,8805003.594
25/09/20 20:00,10718.43,10754.21,10705,10707.81,20252000.5
25/09/20 19:00,10705.38,10725.17,10683.16,10718.31,16950072.43
25/09/20 18:00,10696.13,10744.18,10690.9,10705.38,22474236.53
25/09/20 17:00,10651.35,10718.97,10635.38,10696.13,26030732.92
25/09/20 16:00,10647.62,10668.95,10625.16,10651.34,17080095.87
25/09/20 15:00,10629.55,10669.9,10564.57,10647.61,32730967.59
25/09/20 14:00,10611.59,10635,10556.24,10629.56,31683614.45
25/09/20 13:00,10615.48,10641.49,10585,10611.13,20852027.32
25/09/20 12:00,10630,10684.09,10585.57,10615.48,24333351.68
25/09/20 11:00,10591.76,10650,10567.81,10630,36542680.49
25/09/20 10:00,10593.82,10622.98,10580,10591.75,18921904.11
25/09/20 9:00,10599.8,10647.96,10556.66,10593.82,34166050.59
25/09/20 8:00,10686.93,10686.94,10572,10599.69,43984555.87
25/09/20 7:00,10691.96,10703.12,10666.17,10686.94,22065857.36
25/09/20 6:00,10648.9,10695,10614.58,10691.87,18298837.84
25/09/20 5:00,10677.05,10682.23,10640.75,10648.9,14742587.23
25/09/20 4:00,10667.47,10693.99,10655.74,10677.05,12139835.68
25/09/20 3:00,10710.64,10720,10663.14,10667.47,14854024.39
25/09/20 2:00,10690.98,10727.2,10685.57,10710.64,14559850.83
25/09/20 1:00,10711.93,10730.82,10684.03,10690.98,13541587.09
25/09/20 0:00,10736.33,10760.53,10692.38,10711.94,21079238.44
24/09/20 23:00,10762.39,10768.99,10719.13,10736.32,22865076.87
24/09/20 22:00,10647.25,10795.24,10605,10762.4,32417521.2
24/09/20 21:00,10626.61,10678,10621,10647.25,12038936.21
24/09/20 20:00,10653.87,10667.17,10624.4,10626.73,18229557.24
24/09/20 19:00,10612.62,10667.55,10595.46,10653.82,26908117.59
24/09/20 18:00,10657.9,10684.2,10607.12,10612.61,26397774.56
24/09/20 17:00,10672.2,10712.97,10639.63,10657.9,38435028.48
24/09/20 16:00,10545.07,10743.59,10540.02,10672.2,71103116.52
24/09/20 15:00,10406.97,10557.19,10390.66,10545.36,50800218.78
24/09/20 14:00,10377.22,10421.01,10369.57,10407.07,26063245.27
24/09/20 13:00,10377.47,10399,10331.93,10377.22,29724113.98
24/09/20 12:00,10410,10424.99,10364.57,10377.47,23479609.44
24/09/20 11:00,10372.31,10440,10362.71,10410.01,35641890.85
24/09/20 10:00,10322.85,10376.41,10312.91,10372.31,20856259.6
24/09/20 9:00,10315.82,10335.55,10283.89,10322.85,20321678.49
24/09/20 8:00,10341.69,10351.48,10305.01,10315.83,17343643.75
24/09/20 7:00,10289.79,10356.47,10289.62,10341.68,22432872.09
24/09/20 6:00,10289.64,10322.18,10285.33,10289.78,14294522.42
24/09/20 5:00,10281.02,10304.33,10271,10289.64,12797516.99
24/09/20 4:00,10301.75,10319,10280,10281.02,16421200.06
24/09/20 3:00,10290.11,10326.28,10289.12,10301.75,9703052.551
24/09/20 2:00,10285.69,10344.64,10279.54,10290.11,17055878.46
24/09/20 1:00,10290.85,10316.74,10275.84,10285.86,14428849.99
24/09/20 0:00,10241.46,10300,10190.93,10290.84,24761188.65
23/09/20 23:00,10270.04,10272.86,10211,10241.46,15881723.86
23/09/20 22:00,10252.37,10299.95,10241.72,10270.04,17813660.29
23/09/20 21:00,10230.4,10286.85,10205.76,10252.22,20688700.58
23/09/20 20:00,10293,10324.3,10136.82,10230.39,66786734.46
23/09/20 19:00,10409.14,10414.93,10255.53,10293,70647215.56
23/09/20 18:00,10455.89,10463.7,10406.95,10409.14,21565858.77
23/09/20 17:00,10486.2,10489.73,10455.26,10455.89,15831272.62
23/09/20 16:00,10453.02,10494.72,10446.84,10486.2,18463067.45
23/09/20 15:00,10471.88,10490,10444.41,10453.2,17297236.7
23/09/20 14:00,10495.84,10502,10461,10471.89,21953113.38
23/09/20 13:00,10505.43,10537.15,10492.16,10495.85,23718190.33
23/09/20 12:00,10474.46,10520,10463.69,10505.43,19569276.36
23/09/20 11:00,10487.99,10496.2,10470,10474.45,17408608.13
23/09/20 10:00,10481.68,10488.25,10460,10488,15461505.11
23/09/20 9:00,10448.46,10494.22,10441.4,10481.82,22134356.35
23/09/20 8:00,10428.63,10464.84,10403.95,10448.54,22632790.21
23/09/20 7:00,10436.49,10442.55,10380.47,10428.64,31072322.21
23/09/20 6:00,10473.21,10478.91,10403,10436.48,21771041.84
23/09/20 5:00,10470.33,10490.84,10451.33,10473.22,15202255.05
23/09/20 4:00,10476,10485.2,10441.91,10470.32,18203250.38
23/09/20 3:00,10513.94,10516.03,10471.72,10476.01,17464541.02
23/09/20 2:00,10515.02,10527.7,10501.93,10513.93,7321564.75
23/09/20 1:00,10510.73,10526.71,10503.42,10515.02,8902302.782
23/09/20 0:00,10529.61,10533.94,10500.25,10510.73,11571426.95
22/09/20 23:00,10508.4,10536.58,10494.15,10529.61,10522438.03
22/09/20 22:00,10547.17,10552.98,10494.49,10508.4,12882746.21
22/09/20 21:00,10512.69,10572.71,10453,10547.17,27004535.85
